"ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count"
"399","1","2015-03-18 14:09:39","2015-03-18 21:09:39","<img class=""size-medium wp-image-26 alignleft"" style=""font-size: 12px;"" alt=""peter-van-garderen-profile-hi-res"" src=""http://vangarderen.net/wp-content/uploads/2013/09/peter-van-garderen-profile-hi-res-232x300.jpg"" width=""232"" height=""300"" />I offer contracting services to help your organization with:* Records and information management policies &amp; procedures* Electronic recordkeeping and digital preservation* ERDMS, ECM, DAM and institutional repository systems* Archives, library, and museum systems* Freedom of information and privacy* Open Data initiatives* Blockchain and crypto solutions* Open-source infrastructure and community<hr /><h2>Contact</h2><b>peter</b> [at] <b>vangarderen</b> [dot] <b>net</b><a href=""http://www.linkedin.com/in/petervangarderen""><img alt="""" src=""/wp-content/uploads/2013/12/linkedin.png"" /></a><a href=""https://twitter.com/pjvangarderen"" class=""twitter-follow-button"" data-show-count=""false"" data-size=""large"" data-dnt=""true"">Follow @pjvangarderen</a> <code><script>!function(d,s,id){var js,fjs=d.getElementsByTagName(s)[0],p=/^http:/.test(d.location)?'http':'https';if(!d.getElementById(id)){js=d.createElement(s);js.id=id;js.src=p+'://platform.twitter.com/widgets.js';fjs.parentNode.insertBefore(js,fjs);}}(document, 'script', 'twitter-wjs');</script></code><hr /><h2>Experience</h2>I have over fifteen years experience working on enterprise systems and assisting organizations with:* Project strategy &amp; planning* Project management, budget management, SLAs, HR management* Standards &amp; best practices analysis* Legal, regulatory and policy compliance* Business process analysis &amp; optimization* Business case preparation* Requirement specifications &amp; system architectures* Product and technology evaluation* Software development &amp; systems integration* Open-source project infrastructure, community &amp; dev team management* Delivering presentations, workshops &amp; courses.<h2>Clientele</h2>Former and existing clients include: The United Nations, UNESCO, Museum of Modern Art, International Monetary Fund, The World Bank, International Records Management Trust, International Council on Archives, Dutch Ministry of the Interior, Botswana National Archives and Records Service, City of Vancouver, City of Coquitlam, City of Edmonton, Library Archives Canada, Royal Museum of British Columbia, Service Alberta, Yale University, University of British Columbia, University of Alberta, Simon Fraser University, Public Guardian and Trustee of British Columbia, Doctors of BC.References available upon request.","CONSULTING: Peter Van Garderen",,"inherit","closed","closed",,"258-revision-v1",,,"2015-03-18 14:09:39","2015-03-18 21:09:39",,"258","http://vangarderen.net/258-revision-v1/","0","revision",,"0"
"389","1","2015-02-20 11:20:48","2015-02-20 19:20:48","<img class=""size-medium wp-image-26 alignleft"" style=""font-size: 12px;"" alt=""peter-van-garderen-profile-hi-res"" src=""http://vangarderen.net/wp-content/uploads/2013/09/peter-van-garderen-profile-hi-res-232x300.jpg"" width=""232"" height=""300"" />I offer contracting services to help your organization or project with:* Records and information management policies and procedures* Archives, library, and museum systems* Electronic recordkeeping &amp; digital preservation* ERDMS, ECM, DAM and institutional repository systems* Freedom of information and privacy* Open data initiatives* Blockchain and crypto solutions* Open-source infrastructure &amp; community<hr /><h2>Contact</h2><b>peter [at] vangarderen [dot] net</b><a href=""http://www.linkedin.com/in/petervangarderen""><img alt="""" src=""/wp-content/uploads/2013/12/linkedin.png"" /></a><a href=""https://twitter.com/pjvangarderen"" class=""twitter-follow-button"" data-show-count=""false"" data-size=""large"" data-dnt=""true"">Follow @pjvangarderen</a> <code><script>!function(d,s,id){var js,fjs=d.getElementsByTagName(s)[0],p=/^http:/.test(d.location)?'http':'https';if(!d.getElementById(id)){js=d.createElement(s);js.id=id;js.src=p+'://platform.twitter.com/widgets.js';fjs.parentNode.insertBefore(js,fjs);}}(document, 'script', 'twitter-wjs');</script></code><h2>Experience</h2>I have over fifteen years experience working on enterprise systems and assisting organizations with:* Project strategy &amp; planning* Project management, budget management, SLAs, HR management* Standards &amp; best practices analysis* Legal, regulatory and policy compliance* Business process analysis &amp; optimization* Business case preparation* Requirement specifications &amp; system architectures* Product and technology evaluation* Software development &amp; systems integration* Open-source project infrastructure, community &amp; dev team management* Delivering presentations, workshops &amp; courses.<h2>Clientele</h2>Former and existing clients include: The United Nations, UNESCO, Museum of Modern Art NYC, International Monetary Fund, The World Bank, Yale University, International Records Management Trust, International Council on Archives, City of Vancouver, City of Coquitlam, City of Edmonton, Library Archives Canada, Royal Museum of British Columbia, Service Alberta, University of British Columbia, University of Alberta, Simon Fraser University, Public Guardian and Trustee of British Columbia.References available upon request.","CONSULTING: Peter Van Garderen",,"inherit","closed","closed",,"258-revision-v1",,,"2015-02-20 11:20:48","2015-02-20 19:20:48",,"258","http://vangarderen.net/258-revision-v1/","0","revision",,"0"
"388","1","2015-02-20 11:17:03","2015-02-20 19:17:03","<img class=""size-medium wp-image-26 alignleft"" style=""font-size: 12px;"" alt=""peter-van-garderen-profile-hi-res"" src=""http://vangarderen.net/wp-content/uploads/2013/09/peter-van-garderen-profile-hi-res-232x300.jpg"" width=""232"" height=""300"" />I offer contracting services to help your organization or project with:* Records and information management policies and procedures* Archives, library, and museum systems* Electronic recordkeeping &amp; digital preservation* ERDMS, ECM, DAM and institutional repository systems* Freedom of information and privacy* Open data initiatives* Blockchain and crypto solutions* Open-source infrastructure &amp; community<hr /><h2>Contact</h2><b>peter [at] vangarderen [dot] net</b><code><script src=""//platform.linkedin.com/in.js"" type=""text/javascript""></script><script type=""IN/MemberProfile"" data-id=""https://www.linkedin.com/in/petervangarderen"" data-format=""hover"" data-related=""false"" data-text=""Peter Van Garderen""></script></code><a href=""https://twitter.com/pjvangarderen"" class=""twitter-follow-button"" data-show-count=""false"" data-size=""large"" data-dnt=""true"">Follow @pjvangarderen</a> <code><script>!function(d,s,id){var js,fjs=d.getElementsByTagName(s)[0],p=/^http:/.test(d.location)?'http':'https';if(!d.getElementById(id)){js=d.createElement(s);js.id=id;js.src=p+'://platform.twitter.com/widgets.js';fjs.parentNode.insertBefore(js,fjs);}}(document, 'script', 'twitter-wjs');</script></code><h2>Experience</h2>I have over fifteen years experience working on enterprise systems and assisting organizations with:* Project strategy &amp; planning* Project management, budget management, SLAs, HR management* Standards &amp; best practices analysis* Legal, regulatory and policy compliance* Business process analysis &amp; optimization* Business case preparation* Requirement specifications &amp; system architectures* Product and technology evaluation* Software development &amp; systems integration* Open-source project infrastructure, community &amp; dev team management* Delivering presentations, workshops &amp; courses.<h2>Clientele</h2>Former and existing clients include: The United Nations, UNESCO, Museum of Modern Art NYC, International Monetary Fund, The World Bank, Yale University, International Records Management Trust, International Council on Archives, City of Vancouver, City of Coquitlam, City of Edmonton, Library Archives Canada, Royal Museum of British Columbia, Service Alberta, University of British Columbia, University of Alberta, Simon Fraser University, Public Guardian and Trustee of British Columbia.References available upon request.","CONSULTING: Peter Van Garderen",,"inherit","closed","closed",,"258-revision-v1",,,"2015-02-20 11:17:03","2015-02-20 19:17:03",,"258","http://vangarderen.net/258-revision-v1/","0","revision",,"0"
"390","1","2015-02-20 11:21:26","2015-02-20 19:21:26","<img class=""size-medium wp-image-26 alignleft"" style=""font-size: 12px;"" alt=""peter-van-garderen-profile-hi-res"" src=""http://vangarderen.net/wp-content/uploads/2013/09/peter-van-garderen-profile-hi-res-232x300.jpg"" width=""232"" height=""300"" />I offer contracting services to help your organization or project with:* Records and information management policies and procedures* Archives, library, and museum systems* Electronic recordkeeping &amp; digital preservation* ERDMS, ECM, DAM and institutional repository systems* Freedom of information and privacy* Open data initiatives* Blockchain and crypto solutions* Open-source infrastructure &amp; community<hr /><h2>Contact</h2><b>peter</b> [at] <b>vangarderen</b> [dot] <b>net</b><a href=""http://www.linkedin.com/in/petervangarderen""><img alt="""" src=""/wp-content/uploads/2013/12/linkedin.png"" /></a><a href=""https://twitter.com/pjvangarderen"" class=""twitter-follow-button"" data-show-count=""false"" data-size=""large"" data-dnt=""true"">Follow @pjvangarderen</a> <code><script>!function(d,s,id){var js,fjs=d.getElementsByTagName(s)[0],p=/^http:/.test(d.location)?'http':'https';if(!d.getElementById(id)){js=d.createElement(s);js.id=id;js.src=p+'://platform.twitter.com/widgets.js';fjs.parentNode.insertBefore(js,fjs);}}(document, 'script', 'twitter-wjs');</script></code><h2>Experience</h2>I have over fifteen years experience working on enterprise systems and assisting organizations with:* Project strategy &amp; planning* Project management, budget management, SLAs, HR management* Standards &amp; best practices analysis* Legal, regulatory and policy compliance* Business process analysis &amp; optimization* Business case preparation* Requirement specifications &amp; system architectures* Product and technology evaluation* Software development &amp; systems integration* Open-source project infrastructure, community &amp; dev team management* Delivering presentations, workshops &amp; courses.<h2>Clientele</h2>Former and existing clients include: The United Nations, UNESCO, Museum of Modern Art NYC, International Monetary Fund, The World Bank, Yale University, International Records Management Trust, International Council on Archives, City of Vancouver, City of Coquitlam, City of Edmonton, Library Archives Canada, Royal Museum of British Columbia, Service Alberta, University of British Columbia, University of Alberta, Simon Fraser University, Public Guardian and Trustee of British Columbia.References available upon request.","CONSULTING: Peter Van Garderen",,"inherit","closed","closed",,"258-revision-v1",,,"2015-02-20 11:21:26","2015-02-20 19:21:26",,"258","http://vangarderen.net/258-revision-v1/","0","revision",,"0"
"255","1","2014-03-01 07:27:44","2014-03-01 15:27:44",,"1653678_10152222951178908_1545439993_n",,"inherit","closed","closed",,"1653678_10152222951178908_1545439993_n",,,"2014-03-01 07:27:44","2014-03-01 15:27:44",,"0","http://vangarderen.net/wp-content/uploads/2014/03/1653678_10152222951178908_1545439993_n.jpg","0","attachment","image/jpeg","0"
"258","1","2014-06-09 15:59:12","2014-06-09 22:59:12","<a href=""http://vangarderen.net/wp-content/uploads/2014/06/PeterVanGarderen-April2016-copy-3.png""><img class=""alignleft size-full wp-image-432"" src=""http://vangarderen.net/wp-content/uploads/2014/06/PeterVanGarderen-April2016-copy-3.png"" alt=""PeterVanGarderen-April2016 copy 3"" width=""241"" height=""355"" /></a>* Records and information management programs and policies* Blockchain and decentralized information management services* Electronic recordkeeping and digital preservation projects* ECM, DAM, RDM, ERDMS, and institutional repository systems* Archives, library, and museum cataloging and discovery systems* Open Data initiatives and research data repositories* Freedom of information and privacy policies and practices* Open-source business models, system infrastructure and community management<hr /><h2>Experience</h2>I have twenty years of experience working on enterprise systems and assisting organizations with:* Project strategy &amp; planning* Capacity gap assessments* Project management, budget management, SLAs, HR management* Standards &amp; best practices analysis* Legal, regulatory and policy compliance* Business process analysis &amp; optimization* Business case preparation* Requirement specifications &amp; system architectures* Product and technology evaluation* Software development &amp; systems integration* Open-source project infrastructure, community &amp; dev team management* Delivering presentations, workshops &amp; courses.<h2>Clientele</h2>Former and current clients include: The United Nations, UNESCO, Museum of Modern Art, International Monetary Fund, The World Bank, International Records Management Trust, International Council on Archives, Dutch Ministry of the Interior, Botswana National Archives and Records Service, City of Vancouver, City of Coquitlam, City of Edmonton, Library Archives Canada, Royal Museum of British Columbia, Service Alberta, Yale University, University of British Columbia, University of Alberta, Simon Fraser University, Public Guardian and Trustee of British Columbia, Doctors of British Columbia, Organisation for the Prohibition of Chemical Weapons, California State Library, The Co-operators Group, JISC UK.References available upon request.","Consulting",,"publish","closed","closed",,"consulting",,,"2018-01-24 16:45:51","2018-01-25 00:45:51",,"0","http://vangarderen.net/?page_id=258","0","page",,"0"
"542","1","2018-01-24 10:41:15","2018-01-24 18:41:15","<a href=""http://vangarderen.net/wp-content/uploads/2014/06/PeterVanGarderen-April2016-copy-3.png""><img class=""alignleft size-full wp-image-432"" src=""http://vangarderen.net/wp-content/uploads/2014/06/PeterVanGarderen-April2016-copy-3.png"" alt=""PeterVanGarderen-April2016 copy 3"" width=""241"" height=""355"" /></a>* Records and information management programs and policies* Blockchain and decentralized information management services* Electronic recordkeeping and digital preservation projects* ERDMS, ECM, DAM and institutional repository systems* Archives, library, and museum cataloging and discovery systems* Open Data initiatives and research data repositories* Freedom of information and privacy policies and practices* Open-source business models, system infrastructure and community management<hr /><h2>Experience</h2>I have twenty years of experience working on enterprise systems and assisting organizations with:* Project strategy &amp; planning* Capacity gap assessments* Project management, budget management, SLAs, HR management* Standards &amp; best practices analysis* Legal, regulatory and policy compliance* Business process analysis &amp; optimization* Business case preparation* Requirement specifications &amp; system architectures* Product and technology evaluation* Software development &amp; systems integration* Open-source project infrastructure, community &amp; dev team management* Delivering presentations, workshops &amp; courses.<h2>Clientele</h2>Former and current clients include: The United Nations, UNESCO, Museum of Modern Art, International Monetary Fund, The World Bank, International Records Management Trust, International Council on Archives, Dutch Ministry of the Interior, Botswana National Archives and Records Service, City of Vancouver, City of Coquitlam, City of Edmonton, Library Archives Canada, Royal Museum of British Columbia, Service Alberta, Yale University, University of British Columbia, University of Alberta, Simon Fraser University, Public Guardian and Trustee of British Columbia, Doctors of British Columbia, Organisation for the Prohibition of Chemical Weapons, California State Library, The Co-operators Group, JISC UK.References available upon request.","Consulting",,"inherit","closed","closed",,"258-revision-v1",,,"2018-01-24 10:41:15","2018-01-24 18:41:15",,"258","http://vangarderen.net/2018/01/24/258-revision-v1/","0","revision",,"0"
"259","1","2014-06-09 15:59:12","2014-06-09 22:59:12","I offer contracting services to help your organization move its information management system project from business case to implementation:* Digital Preservation* Institutional Repositories* Archives, Library, and Museum Systems* Enterprise Content Management Systems* Digital Asset Management Systems* Freedom of Information/Privacy* Open Data Initiatives* Open Source Infrastructure & Community* ISO TRAC readiness ","Consulting",,"inherit","closed","closed",,"258-revision-v1",,,"2014-06-09 15:59:12","2014-06-09 22:59:12",,"258","http://vangarderen.net/258-revision-v1/","0","revision",,"0"
"260","1","2016-04-04 13:19:35","2016-04-04 20:19:35","<a href=""http://vangarderen.net/wp-content/uploads/2014/06/PeterVanGarderen-April2016-copy-3.png""><img class=""alignleft size-full wp-image-432"" alt=""PeterVanGarderen-April2016 copy 3"" src=""http://vangarderen.net/wp-content/uploads/2014/06/PeterVanGarderen-April2016-copy-3.png"" width=""241"" height=""355"" /></a>* Records and information management programs and policies* Blockchain and cryptographic information management services* Electronic recordkeeping and digital preservation projects* ERDMS, ECM, DAM and institutional repository systems* Archives, library, and museum cataloging and discovery systems* Open Data initiatives and research data repositories* Freedom of information and privacy policies and practices* Open-source business models, system infrastructure and community management<hr /><h2>Contact</h2><b>peter</b> [at] <b>vangarderen</b> [dot] <b>net</b><a href=""http://www.linkedin.com/in/petervangarderen""><img alt="""" src=""/wp-content/uploads/2013/12/linkedin.png"" /></a><a class=""twitter-follow-button"" href=""https://twitter.com/pjvangarderen"" data-show-count=""false"" data-size=""large"" data-dnt=""true"">Follow @pjvangarderen</a> <code><script type=""text/javascript"">// <![CDATA[!function(d,s,id){var js,fjs=d.getElementsByTagName(s)[0],p=/^http:/.test(d.location)?'http':'https';if(!d.getElementById(id)){js=d.createElement(s);js.id=id;js.src=p+'://platform.twitter.com/widgets.js';fjs.parentNode.insertBefore(js,fjs);}}(document, 'script', 'twitter-wjs');// ]]></script></code><hr /><h2>Experience</h2>I have over fifteen years experience working on enterprise systems and assisting organizations with:* Project strategy &amp; planning* Capacity gap assessments* Project management, budget management, SLAs, HR management* Standards &amp; best practices analysis* Legal, regulatory and policy compliance* Business process analysis &amp; optimization* Business case preparation* Requirement specifications &amp; system architectures* Product and technology evaluation* Software development &amp; systems integration* Open-source project infrastructure, community &amp; dev team management* Delivering presentations, workshops &amp; courses.<h2>Clientele</h2>Former and current clients include: The United Nations, UNESCO, Museum of Modern Art, International Monetary Fund, The World Bank, International Records Management Trust, International Council on Archives, Dutch Ministry of the Interior, Botswana National Archives and Records Service, City of Vancouver, City of Coquitlam, City of Edmonton, Library Archives Canada, Royal Museum of British Columbia, Service Alberta, Yale University, University of British Columbia, University of Alberta, Simon Fraser University, Public Guardian and Trustee of British Columbia, Doctors of British Columbia, Organisation for the Prohibition of Chemical Weapons.References available upon request.","CONSULTING: Peter Van Garderen",,"inherit","closed","closed",,"258-autosave-v1",,,"2016-04-04 13:19:35","2016-04-04 20:19:35",,"258","http://vangarderen.net/258-autosave-v1/","0","revision",,"0"
"261","1","2014-06-09 16:01:53","2014-06-09 23:01:53","I offer contracting services to help your organization move its information management project from business case to implementation:* Digital Preservation* Institutional Repositories* ELectronic Recordkeeping* Archives, Library, and Museum Systems* Enterprise Content Management Systems* Digital Asset Management Systems* Freedom of Information/Privacy* Open Data Initiatives* Open Source Infrastructure & Community* ISO TRAC readiness ","Consulting",,"inherit","closed","closed",,"258-revision-v1",,,"2014-06-09 16:01:53","2014-06-09 23:01:53",,"258","http://vangarderen.net/258-revision-v1/","0","revision",,"0"
